Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037137401,321,2459,52,5.81168614,133062
6037137402,648,3329,42.1,5.867295033,110957
6037137501,636,2202,55.1,5.81889342,98931
6037137502,454,2512,56.2,5.807344357,105583
6037137504,52,1690,57.7,5.848595302,224484
6037138000,311,3274,53,5.862419674,135107
6037139001,746,2593,54.5,5.838864547,95314
6037139200,1164,2752,42.2,5.963745651,82089
6037139301,653,2908,42.3,5.823717622,109360
6037139302,1190,1872,34.8,5.672760953,54105
6037139303,813,2155,32.7,5.833324046,54535
6037139401,1066,1142,34.7,5.842301052,78413
6037139402,73,1947,53,5.8571573,158955
6037139502,305,1891,61.2,5.804686746,85773
6037139503,430,3638,48,5.946024162,60424
6037139504,239,2470,41,6.070606245,51270
6037139600,307,3290,59.5,5.917884615,146662
6037139701,207,3555,62.2,5.915207737,172557
6037139702,209,4263,63.7,5.829827027,223702
6037139703,121,1896,58.3,5.625753749,172880
6037139801,214,2430,62.9,5.831373854,198290
6037139802,177,2741,62.6,5.836491398,214394
6037141101,547,2913,63.1,6.013492773,96254
6037141102,205,1853,62.4,5.996448726,151585
6037141201,759,2147,54.5,5.903109028,85421
6037141202,191,1959,66.4,5.894751574,127105
6037141302,645,3504,60.3,5.979409195,98243
6037141303,172,2159,57.9,5.922096452,88116
6037141304,237,1935,59.9,5.865283337,104381
6037141400,217,3227,56.9,5.855330247,135195
6037141500,140,2074,68.6,5.875680725,267138
6037141600,216,2887,69.8,5.750189457,261485
6037141700,152,2104,61.4,5.962696214,262822
6037143100,433,2951,56.7,5.904927993,129529
6037143200,621,2118,59.1,6.107420384,80444
6037143300,915,3911,50.3,5.952326078,116013
6037143400,567,4197,55.2,5.940705847,117418
6037143500,373,2919,64.1,6.007982929,109081
6037143602,280,3063,60.9,5.8661214,107784
6037143603,212,1455,63.7,5.843351845,88211
6037143604,363,1948,64,5.91736593,74166
6037143700,151,2509,65.5,5.927826776,200335
6037143800,562,3348,64.7,5.963523216,169954
6037143901,155,2851,65.6,5.995181544,223269
6037143902,213,2032,69,5.899310367,181599
6037181000,1897,2035,49.2,5.902745987,113155
6037181300,1095,1229,53.3,5.817905247,98754
6037181400,1545,1117,38.7,5.959754059,76608
6037181500,1530,1042,37.4,5.981434904,108903
6037181600,1516,1297,37.8,5.713576462,85598
6037183101,2026,550,33.3,5.834533204,80726
6037183103,2414,334,17.9,5.774019689,61858
6037183104,1034,366,34.1,6.003439374,77297
6037183220,2480,308,17.4,5.821620785,62149
6037183221,1575,709,31.7,5.845296606,78643
6037183222,1379,900,37.4,5.759317767,88952
6037183300,1689,449,23,5.94254149,67432
6037183401,1340,311,25.4,5.717016516,71927
6037183402,1119,563,34.4,5.812119907,75186
6037183510,1492,373,21.3,5.67776191,70018
6037183520,2302,355,19,5.641070193,57946
6037183610,2246,309,13.7,5.848962015,53571
6037183620,1779,434,20.9,5.903331269,62384
6037183701,2678,256,19.6,5.743593972,54547
6037183702,1544,462,32.9,5.720496568,72912
6037183810,2658,365,21,5.865641057,47686
6037183820,2546,125,8.5,5.790085526,39970
6037185100,2723,1749,41.8,5.885087434,89281
