price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
2807.0,2001.0,ford,fair,6 cylinders,gas,130153.0,automatic,pickup,white,231,1.9666344804698677,0.003189733084473207,a
19475.0,2011.0,ford,excellent,6 cylinders,gas,115811.0,automatic,pickup,red,327,2.2051049660400404,0.09917466943205397,b
38174.0,2015.0,ford,good,6 cylinders,gas,87405.0,automatic,truck,white,1845,2.354022024697973,0.0938049321766242,c
5783.0,2010.0,ford,excellent,4 cylinders,gas,69000.0,automatic,sedan,red,141,2.3436172503812704,0.05689332157743832,a
1389.0,1996.0,ford,fair,6 cylinders,gas,140000.0,manual,pickup,white,326,1.7529908078179897,-0.0736901260608783,c
12338.0,2007.0,ford,excellent,8 cylinders,gas,154263.0,automatic,SUV,white,6572,2.0999742585593792,0.24678733870662534,a
8856.0,2010.0,ford,like new,4 cylinders,gas,170000.0,automatic,pickup,white,992,2.2837852647141133,0.008203016222816134,b
7715.0,2012.0,subaru,excellent,4 cylinders,gas,,automatic,sedan,red,250,2.0172274282953526,-0.06292321276253088,a
12297.0,2013.0,ford,excellent,4 cylinders,gas,129036.0,automatic,SUV,white,1575,2.1663715228937948,0.1976963730564973,a
12387.0,2010.0,subaru,good,4 cylinders,gas,154000.0,manual,sedan,white,558,2.1476604426392423,0.15874168196053967,b
37859.0,2018.0,ford,good,6 cylinders,gas,32145.0,automatic,truck,black,1359,2.4065501564663783,0.14767987660194234,b
2403.0,2008.0,ford,good,8 cylinders,gas,135000.0,automatic,sedan,blue,117,2.0934415167162026,0.14406829772524354,c
11984.0,2015.0,subaru,excellent,6 cylinders,gas,159724.0,automatic,sedan,white,741,2.2866868495720176,-0.00123677655871475,c
5576.0,2011.0,ford,excellent,4 cylinders,gas,130037.0,automatic,sedan,blue,1147,2.2329827994021745,0.19395788577649448,b
2049.0,2017.0,ford,excellent,4 cylinders,gas,,automatic,SUV,silver,666,2.3722484993735082,0.24946285423841305,b
